 ,Area,XM,YM,Perim.
444,6,346.50,534.00,7.66
445,7,364.21,534.36,9.07
446,8,329.38,535.38,9.07
447,6,350.67,537.50,8.49
448,8,300.62,539.62,9.07
449,8,333.75,540.12,10.49
450,6,377.50,540.00,7.66
451,4,325.00,541.00,5.66
452,3,329.50,541.50,6.83
453,8,396.62,541.38,9.07
454,8,312.38,545.62,9.07
455,4,357.75,545.50,7.66
456,10,388.50,547.00,10.49
457,9,334.39,550.83,10.49
458,9,358.17,550.61,10.49
459,10,290.80,552.90,11.31
460,8,338.62,553.62,9.07
461,9,316.83,554.61,9.90
462,8,395.50,556.00,10.49
463,10,301.00,559.30,10.49
464,10,307.50,561.00,10.49
465,7,386.50,560.79,9.07
466,6,294.50,565.00,7.66
467,9,330.50,565.50,9.66
468,9,346.39,566.06,10.49
469,5,399.10,567.70,7.66
470,9,338.83,569.06,10.49
471,8,307.62,569.62,9.07
472,7,358.50,569.21,9.07
473,8,375.75,570.12,10.49
474,9,319.72,572.17,10.49
475,7,393.50,573.21,9.07
476,7,291.50,574.50,8.49
477,7,386.50,574.79,9.07
478,7,282.50,576.79,9.07
479,6,363.50,578.00,7.66
480,6,292.00,579.50,7.66
481,9,331.39,579.83,10.49
482,9,343.50,581.17,10.49
483,9,394.50,580.50,9.66
484,8,336.62,581.38,9.07
485,8,401.62,581.38,9.07
486,9,367.17,584.39,10.49
487,12,264.00,586.00,11.31
488,8,328.38,585.62,9.07
489,9,308.50,587.83,10.49
490,7,275.50,589.21,9.07
491,6,313.67,589.67,10.49
492,7,261.79,592.36,9.07
493,10,371.70,592.50,10.49
494,9,345.94,593.83,10.49
495,8,358.38,594.25,10.49
496,6,276.50,594.00,7.66
497,7,286.50,595.79,9.07
498,6,312.67,595.83,9.07
499,9,339.83,595.61,9.90
500,9,254.17,597.39,10.49
501,8,293.75,597.50,9.90
502,6,325.50,597.00,7.66
503,3,363.17,597.17,5.66
504,8,346.00,599.50,9.90
505,5,330.30,600.10,7.07
506,9,260.50,601.50,9.66
507,7,268.21,601.50,8.49
508,9,367.17,601.61,10.49
509,5,299.30,602.90,7.07
510,8,281.50,605.00,10.49
511,3,307.83,604.83,5.66
512,7,352.50,605.21,9.07
513,6,276.67,606.17,9.07
514,8,302.25,606.88,10.49
515,8,361.38,606.62,9.07
516,9,380.50,606.50,9.66
517,6,367.50,607.00,7.66
518,7,318.21,609.50,8.49
519,7,304.79,611.64,9.07
520,8,357.75,611.12,10.49
521,8,348.00,612.50,9.90
522,9,362.83,613.39,9.90
523,9,371.50,613.50,9.66
524,11,295.32,617.68,11.90
525,10,266.60,619.10,11.90
526,8,374.50,619.00,10.49
527,7,276.79,619.50,9.07
528,10,339.80,621.20,11.31
529,5,379.10,620.30,7.66
530,7,287.21,625.50,8.49
531,9,370.50,625.50,9.66
532,8,312.38,626.38,9.07
533,3,347.17,626.17,5.66
534,6,354.33,626.33,8.49
535,9,269.83,627.61,9.90
536,8,376.62,628.62,9.07
537,7,286.21,630.50,8.49
538,8,368.38,631.62,9.07
539,9,264.50,632.50,9.66
540,11,274.14,634.59,11.07
541,9,307.50,637.50,9.66
542,5,279.90,638.70,7.66
543,8,352.62,639.38,9.07
544,9,345.50,642.50,9.66
545,13,365.88,642.65,15.31
546,8,256.38,644.38,9.07
547,7,268.21,644.50,8.49
548,9,295.39,645.17,10.49
549,7,275.21,646.50,8.49
550,6,285.00,647.50,7.66
551,7,336.79,647.50,9.07
552,7,359.79,648.50,9.07
553,7,321.50,650.21,9.07
554,9,257.39,652.83,10.49
555,7,287.21,653.07,9.66
556,12,269.17,656.58,12.49
557,6,355.00,657.50,7.66
558,8,325.38,658.62,9.07
559,9,331.83,659.61,9.90
560,9,277.83,660.39,9.90
561,6,288.33,660.33,8.49
562,7,313.21,660.50,8.49
563,11,266.59,663.14,11.07
564,8,253.62,663.38,9.07
565,11,291.95,665.86,11.31
566,8,354.25,665.50,10.49
567,9,312.50,667.50,9.66
568,8,256.38,669.62,9.07
569,6,276.50,670.00,7.66
570,7,328.50,672.21,9.07
571,8,354.00,672.50,9.90
572,8,234.00,675.00,9.66
573,9,248.39,675.83,10.49
574,9,338.17,675.39,10.49
575,8,273.00,676.62,10.49
576,13,344.50,677.19,15.90
577,8,280.62,677.62,9.07
578,9,294.06,678.39,10.49
579,19,308.92,681.08,17.56
580,5,349.30,678.90,7.07
581,7,283.21,681.50,8.49
582,8,322.62,682.38,9.07
583,8,241.25,685.25,10.49
584,6,287.33,685.67,8.49
585,8,319.00,686.50,9.90
586,3,312.17,686.83,5.66
587,7,245.79,688.50,9.07
588,8,355.62,689.62,9.07
589,7,276.50,692.21,9.07
590,9,311.39,692.83,10.49
591,10,263.50,694.30,11.07
592,6,294.67,693.33,8.49
593,7,327.50,694.21,9.07
594,8,333.38,696.38,9.07
595,9,279.83,698.39,9.90
596,11,315.41,699.14,11.07
597,7,269.21,701.50,8.49
598,7,343.21,701.50,8.49
599,7,247.50,702.21,9.07
600,9,240.83,703.39,9.90
601,10,338.30,704.20,11.07
602,8,271.62,705.62,9.07
603,5,301.70,704.90,7.66
604,11,328.23,710.23,12.49
605,11,252.77,711.77,13.31
606,7,281.79,710.79,10.49
607,3,274.83,711.17,5.66
608,6,339.00,711.50,7.66
609,13,264.50,713.65,14.73
610,6,278.50,715.00,7.66
611,9,321.83,715.39,9.90
612,8,270.38,716.38,9.07
613,10,291.00,716.30,10.49
614,12,232.25,719.08,11.90
615,8,254.38,718.62,9.07
616,5,305.70,721.10,7.66
617,6,333.50,722.00,7.66
618,8,300.62,723.62,9.07
619,9,231.50,725.50,9.66
620,11,320.68,726.32,11.90
621,3,268.83,727.17,5.66
622,9,315.06,728.28,11.31
623,8,257.38,728.38,9.07
624,11,238.41,732.86,11.07
625,9,267.83,732.39,9.90
626,8,229.88,735.00,11.31
627,7,296.50,735.21,9.07
628,10,277.50,737.70,11.07
629,7,247.79,740.50,9.07
630,3,290.83,739.83,5.66
631,7,307.50,740.21,9.07
632,11,294.86,742.05,11.31
633,6,321.00,741.50,7.66
634,7,302.79,743.50,9.07
635,8,325.25,743.75,10.49
636,12,219.83,744.83,11.90
637,9,227.61,745.39,11.07
638,9,232.39,745.17,10.49
639,9,265.61,747.83,10.49
640,10,312.70,748.50,10.49
641,9,223.61,749.83,10.49
642,5,235.10,749.30,7.66
643,8,283.38,749.38,9.07
644,6,255.50,750.00,7.66
645,10,300.80,754.20,11.31
646,7,317.50,754.21,9.07
647,10,226.00,756.50,11.66
648,13,215.27,757.42,13.90
649,8,225.88,762.25,9.90
650,5,211.90,765.70,7.66
651,8,206.62,766.62,9.07
652,5,221.70,769.10,7.66
653,10,215.30,772.50,11.07
